314 900
151 198 91
151 197 121
151 196 157
151 171 189
151 201 61
151 162 171
151 218 111
151 219 106
152 132 44
152 153 97
153 152 97
153 173 49
153 172 36
153 176 48
153 177 51
153 178 72
153 179 108
153 180 126
153 181 157
153 154 158
154 153 158
154 176 165
154 177 132
154 178 110
154 179 81
154 180 65
154 181 35
154 182 38
154 183 68
154 184 86
154 185 114
154 186 131
154 187 154
154 155 152
155 187 32
155 186 39
155 185 59
155 184 82
155 183 106
155 181 144
155 154 152
155 188 44
155 189 46
155 190 79
155 191 100
155 156 131
156 155 131
156 190 63
156 191 49
156 189 105
156 157 62
156 313 78
156 269 52
157 156 62
157 158 63
157 192 34
157 193 71
157 194 112
157 195 136
157 171 174
158 157 63
158 159 77
158 158 24
158 252 38
158 253 56
158 254 84
159 158 77
159 160 72
159 256 46
159 257 67
159 255 47
159 159 24
159 254 45
159 253 50
159 252 62
160 159 72
160 161 115
160 260 61
160 259 48
160 258 40
160 257 38
160 256 51
161 264 32
161 263 59
161 262 42
161 261 53
161 160 115
162 151 171
162 218 61
162 219 59
162 163 144
162 220 39
162 221 53
162 222 84
162 226 76
162 223 114
162 225 102
163 164 134
163 162 144
163 223 31
163 224 45
163 227 60
163 225 50
163 226 91
163 222 71
163 163 19
163 220 109
164 166 110
164 35 50
164 235 56
164 234 94
164 233 36
164 232 59
164 231 93
164 165 86
164 163 134
165 164 86
165 150 94
165 230 36
165 229 32
166 167 138
166 238 95
166 239 106
166 237 55
166 236 33
166 243 30
166 234 39
166 235 50
166 164 110
167 168 150
167 36 37
167 167 19
167 240 35
167 241 30
167 242 55
167 238 51
167 237 78
167 236 109
167 166 138
168 310 66
168 169 88
168 38 94
168 167 150
169 170 121
169 244 63
169 245 92
169 251 60
169 311 38
169 309 77
169 310 73
169 168 88
169 38 25
170 248 65
170 249 92
170 250 42
170 138 110
170 170 24
170 246 43
170 247 53
170 245 61
170 244 86
170 251 98
170 169 121
171 157 174
171 194 46
171 193 98
171 192 143
171 196 35
171 197 56
171 273 34
171 275 80
171 198 82
171 199 112
171 151 189
171 270 47
172 153 36 C
173 153 49 C
176 153 48 C
176 176 11 C
176 154 165 C
177 153 51 C
177 154 132 C
178 153 72 C
178 154 110 C
179 153 108 C
179 154 81 C
180 153 126 C
180 154 65 C
181 153 157 C
181 154 35 C
181 155 144 C
182 154 38 C
183 154 68 C
183 155 106 C
184 154 86 C
184 155 82 C
185 154 114 C
185 155 59 C
186 154 131 C
186 155 39 C
187 154 154 C
187 155 32 C
188 155 44 C
189 155 46 C
189 156 105 C
190 155 79 C
190 156 63 C
191 155 100 C
191 156 49 C
192 157 34 C
192 171 143 C
193 157 71 C
193 171 98 C
194 157 112 C
194 171 46 C
195 157 136 C
196 171 35 C
196 151 157 C
197 171 56 C
197 151 121 C
198 171 82 C
198 151 91 C
199 171 112 C
200 151 39 C
201 151 61 C
201 202 61 C
202 201 61 C
202 204 77 C
203 131 39 C
203 133 50 C
204 133 34 C
204 134 77 C
204 202 77 C
205 134 29 C
206 135 50 C
206 134 87 C
207 135 28 C
207 214 29 C
208 134 29 C
208 213 32 C
209 210 29 C
209 134 45 C
209 133 53 C
210 216 57 C
210 209 29 C
211 134 47 C
212 134 53 C
213 208 32 C
214 207 29 C
215 133 32 C
215 216 32 C
216 215 32 C
216 210 57 C
217 132 34 C
217 131 29 C
218 162 61 C
218 151 111 C
219 162 59 C
219 151 106 C
220 162 39 C
220 163 109 C
221 162 53 C
222 162 84 C
222 163 71 C
223 162 114 C
223 163 31 C
224 163 45 C
225 162 102 C
225 163 50 C
226 162 76 C
226 163 91 C
227 163 60 C
229 165 32 C
230 165 36 C
231 164 93 C
232 164 59 C
233 164 36 C
234 166 39 C
234 164 94 C
235 166 50 C
235 164 56 C
236 167 109 C
236 166 33 C
237 167 78 C
237 166 55 C
238 167 51 C
238 166 95 C
239 166 106 C
240 167 35 C
241 167 30 C
242 167 55 C
243 166 30 C
244 170 86 C
244 169 63 C
245 170 61 C
245 169 92 C
246 170 43 C
247 170 53 C
248 138 67 C
248 170 65 C
249 170 92 C
250 138 104 C
250 170 42 C
251 170 98 C
251 169 60 C
252 159 62 C
252 158 38 C
253 159 50 C
253 158 56 C
254 159 45 C
254 158 84 C
255 159 47 C
256 159 46 C
256 160 51 C
257 160 38 C
257 159 67 C
258 160 40 C
259 160 48 C
260 160 61 C
261 161 53 C
262 161 42 C
263 161 59 C
264 313 44 C
264 161 32 C
265 313 36 C
265 267 29 C
265 268 68 C
265 266 46 C
266 265 46 C
267 265 29 C
268 265 68 C
269 270 76 C
269 277 42 C
269 156 52 C
270 274 103 C
270 276 89 C
270 269 76 C
270 271 38 C
270 171 47 C
270 272 56 C
271 270 38 C
272 270 56 C
273 171 34 C
274 275 52 C
274 270 103 C
275 171 80 C
275 274 52 C
276 270 89 C
277 269 42 C
278 135 40 C
278 279 36 C
278 136 72 C
279 278 36 C
279 280 79 C
280 136 34 C
280 279 79 C
281 136 96 C
281 139 69 C
282 140 39 C
283 140 49 C
284 140 63 C
285 141 39 C
285 286 44 C
286 285 44 C
288 141 40 C
289 142 73 C
290 142 84 C
291 142 67 C
292 312 36 C
293 312 50 C
294 312 83 C
295 312 102 C
296 312 112 C
297 312 61 C
298 144 50 C
298 145 66 C
299 144 61 C
299 145 66 C
300 145 52 C
301 145 62 C
302 145 38 C
303 145 79 C
304 145 122 C
304 305 43 C
305 304 43 C
306 145 82 C
307 145 118 C
308 145 55 C
309 169 77 C
310 169 73 C
310 168 66 C
311 169 38 C
312 142 108
312 292 36
312 293 50
312 294 83
312 295 102
312 297 61
312 296 112
312 137 124
313 156 78
313 34 37
313 264 44
313 265 36
